FeatureName FeatureID AvgRank FeatureCoeffs
PhdP_SOLEXA_FBgn0025334 122 4 2.3571487565972
grh_FlyReg_FBgn0259211 97 8 -0.044125903746108
Odsh_Cell_FBgn0026058 40 8 -1.96695991709361
Hsf_FlyReg_FBgn0001222 98 23 -0.214808596087937
Gsc_Cell_FBgn0010323 27 24 -0.118030718846256
ftz.f1_FlyReg_FBgn0001078 96 27 -0.191692141777825
BH2_Cell_FBgn0004854 16 28 0.914335661279738
CG33980_SOLEXA_2_0_FBgn0053980 205 28 0.944455571150773
net_da_SANGER_10_FBgn0002931 169 28 -0.0933934599407028
suHw_FlyReg_FBgn0003567 106 31 0.201453139447652
gt_NAR_FBgn0001150 68 32 -0.342439489243695
Exex_SOLEXA_FBgn0041156 116 39 3.71225977715761
prd_SOLEXA_5_FBgn0003145 201 40 -0.25254678261051
Deaf1_FlyReg_FBgn0013799 90 42 -0.163052212294198
dl_NBT_FBgn0000462 77 44 0.245181607709274
wor_SOLEXA_2.5_FBgn0001983 242 44 -0.373863038794844
amos_da_SANGER_10_FBgn0003270 157 46 -0.0659647501567287
Cf2.II_FlyReg_FBgn0000286 89 46 0.43603054445986
BH1_Cell_FBgn0011758 15 48 0.328285370133461
fkh_NAR_FBgn0000659 67 50 0.263277180548111
CG9876_SOLEXA_FBgn0034821 131 51 1.03195641395042
Tup_SOLEXA_FBgn0003896 125 51 -0.90380705039637
CG12029_SOLEXA_5_FBgn0035454 246 54 -0.0677712514562741
Clk_cyc_SANGER_5_FBgn0023076 162 54 -0.126829672937086
CrebA_SANGER_5_FBgn0004396 154 56 0.340945124238918
jim_SANGER_2.5_FBgn0027339 224 56 -0.0486978077717408
odd_NAR_FBgn0002985 72 56 0.136179470379103
tin_FlyReg_FBgn0004110 107 56 0.957199662702828
D_NAR_FBgn0000411 66 58 -0.117904173900398
CG16899_SANGER_5_FBgn0037735 146 60 0.00797890218039796
dys_tgo_SANGER_5_FBgn0039411 166 60 -0.478079464612088
Adf1_FlyReg_FBgn0000054 80 65 0.244062431052942
sens_SOLEXA_5_FBgn0002573 233 66 0.743850278091889
byn_FlyReg_FBgn0011723 88 68 -0.257838966757204
Hr78_SANGER_5_FBgn0015239 140 68 -0.0918616318869643
klu_SANGER_10_FBgn0013469 217 68 -0.0802765758546722
tgo_ss_SANGER_5_FBgn0015014 172 68 0.0521612000691072
Ems_SOLEXA_FBgn0000576 114 70 -0.516007839515702
Ara_Cell_FBgn0015904 11 72 0.00803413182641181
pnr 4 72 0.691061007725504
dimm_da_SANGER_5_FBgn0023091 164 73 -0.155940260667615
br_SOLEXA_10_FBgn0000210 244 74 0.841722367259262
CG4854_SOLEXA_5_FBgn0038766 237 74 -0.0649319279834592
Lim3_Cell_FBgn0002023 36 74 -0.863353963768947
Ap_Cell_FBgn0000099 10 76 -0.563831707780924
CG10267_SOLEXA_5_FBgn0037446 235 76 -0.0170815661322142
CG11294_Cell_FBgn0030058 57 76 -1.21193685521456
Btn_SOLEXA_FBgn0014949 111 77 0.521848484123583
btd_NAR_FBgn0000233 65 78 0.297352668779302
Fer3_da_SANGER_5_FBgn0037937 167 78 0.046655413403502
Repo_Cell_FBgn0011701 43 78 -0.125603363625873
gsb_SOLEXA_5_FBgn0001148 196 79 0.109141141039964
C15_SOLEXA_FBgn0004863 112 80 -0.904949002613833
Eve_SOLEXA_FBgn0000606 115 80 0.249388960760449
HLHm7_SANGER_5_FBgn0002633 187 80 -0.305674883897689
sc_da_SANGER_10_FBgn0004170 171 80 0.153221529017763
Abd.A_FlyReg_FBgn0000014 79 83 0.488033629562775
eg_SANGER_5_FBgn0000560 134 84 0.000601654631234627
hb_SANGER_2.5_FBgn0001180 223 84 -0.278107675418488
sna_SOLEXA_5_FBgn0003448 253 84 0.21276863580874
her_SOLEXA_10_FBgn0001185 252 86 0.139610907677478
Hr4_SANGER_5_FBgn0023546 138 86 0.0922326954270347
ovo_SANGER_5_FBgn0003028 208 88 0.0342959098829427
phol_SANGER_5_FBgn0035997 216 88 0.0408782475006275
vfl_SOLEXA_5_FBgn0259789 243 88 -0.232473684167884
Lbe_SOLEXA_FBgn0011278 119 90 -0.159658250897817
CG11617_Cell_FBgn0031232 58 92 -0.511409612116574
Dr_Cell_FBgn0000492 22 92 -0.328847465548733
Pmad 5 94 -0.143274126866392
br.Z3_FlyReg_FBgn0000210 86 95 0.290930741483825
dTCF 1 96 -0.0807291600473005
Fer1_SANGER_5_FBgn0037475 180 96 -0.0785148574895274
Bap_Cell_FBgn0004862 13 98 0.443010307384856
br.Z2_FlyReg_FBgn0000210 85 98 0.0886718616355675
transfac10.1.M00233.V.MEF2_04 256 98 0.757304685879548
lola_SOLEXA_5_FBgn0005630 240 99 -0.0635648070214701
CG8319_SOLEXA_2.5_FBgn0037722 229 101 -0.155469693362013
HLH54F_da_SANGER_5_FBgn0022740 168 101 -0.463971899969396
slp2_SANGER_5_FBgn0004567 149 101 0.311123838742351
CG12236_SANGER_10_FBgn0029822 220 102 0.0451945154026761
Pb_Cell_FBgn0051481 42 102 -0.904916270085667
CG14962_SOLEXA_5_FBgn0035407 248 104 0.240937789280793
HLH4C_SANGER_5_FBgn0011277 184 104 0.102119826408528
Lbl_Cell_FBgn0008651 34 104 0.39808302542319
pho_SANGER_10_FBgn0002521 210 104 0.243294113773404
rn_SANGER_10_FBgn0259172 225 104 -0.475326642744397
srp_FlyReg_FBgn0003507 104 104 0.0930631586522448
Zen2_Cell_FBgn0004054 55 104 -0.844793362395179
ab_SANGER_10_FBgn0259750 209 105 -0.276732050930963
Mad_FlyReg_FBgn0011648 99 106 -0.530405743448119
Cad_Cell_FBgn0000251 18 108 0.69966567809072
lmd_SANGER_5_FBgn0039039 211 108 0.12482478605251
slp1_NAR_FBgn0003430 74 108 0.00696168563240274
So_Cell_FBgn0003460 49 109 -0.301474067690094
fd64A_SANGER_5_FBgn0004895 147 110 0.279082877718883
En_Cell_FBgn0000577 24 111 1.12810620656856
gl_SANGER_5_FBgn0004618 226 112 0.0222919580010125
Ptx1_SOLEXA_FBgn0020912 124 112 0.405785126199869
Bteb2_SOLEXA_2.5_FBgn0025679 245 114 -0.396123735950419
CG34031_Cell_FBgn0054031 62 114 -0.623547916817313
Dref_FlyReg_FBgn0015664 91 114 0.167092505735852
HLHm3_SANGER_5_FBgn0002609 185 114 -0.232248595103397
Scr_Cell_FBgn0003339 46 114 0.00847426382516092
CG12361_SOLEXA_2_FBgn0250756 204 115 0.134711335787944
Hr46_SANGER_5_FBgn0000448 139 115 0.092754298915945
Al_Cell_FBgn0000061 8 116 0.0115520517059548
dsf_SANGER_5_FBgn0015381 132 116 0.233442924455923
disco_SOLEXA_5_FBgn0000459 230 117 0.360031416618258
ttk_NAR_FBgn0003870 76 117 -0.197016954509826
doc 3 118 0.197351660329997
Ftz_Cell_FBgn0001077 26 118 -0.380352215898138
Hr83_SANGER_5_FBgn0037436 141 118 0.302242257037732
hth_SOLEXA_2_FBgn0001235 207 118 0.13819518601161
Espl_FlyReg_FBgn0000591 95 120 -0.379867312434586
Unc4_Cell_FBgn0024184 51 120 -0.500761827771653
Ind_Cell_FBgn0025776 30 122 0.0257639912408018
Otp_SOLEXA_FBgn0015524 121 122 1.78185057826942
sqz_SANGER_5_FBgn0010768 213 122 -0.242328156113944
Dfd_Cell_FBgn0000439 20 123 0.233034268946263
Dll_Cell_FBgn0000157 21 123 -0.363100776128099
dm_Max_SANGER_10_FBgn0000472 165 124 -0.400242623079016
h_SANGER_5_FBgn0001168 181 124 0.0811835986778403
Inv_Cell_FBgn0001269 31 124 -0.589244628617322
hkb_NAR_FBgn0001204 69 125 0.268775706345314
Hnf4_SANGER_10_FBgn0004914 137 125 -0.152905956475245
CG7928_SANGER_10_FBgn0039740 221 126 -0.126194696329007
H2.0_SOLEXA_FBgn0001170 117 126 -0.11257641597984
opa_NAR_FBgn0003002 73 126 0.0562744075983196
HLHm5_SANGER_5_FBgn0002631 186 129 -0.0409536665638398
HLHmbeta_SANGER_10_FBgn0002733 188 129 0.324506649538716
CG4328_SOLEXA_FBgn0036274 130 130 -1.35630960400613
HLHmgamma_SANGER_10_FBgn0002735 190 130 0.114591041268105
brk_FlyReg_FBgn0024250 83 131 0.202241125113557
tin 2 131 0.327852593580302
br.Z1_FlyReg_FBgn0000210 84 134 -0.18869894402076
Caup_Cell_FBgn0015919 19 134 -0.341520928966875
CG33557_da_SANGER_5_FBgn0053557 161 134 0.0644347559735989
CG5669_SANGER_10_FBgn0039169 212 134 -0.270006151320703
EcR_SANGER_5_FBgn0000546 133 134 0.0796980359456597
Poxm_SOLEXA_5_FBgn0003129 199 134 -0.0902795361145891
cic_SANGER_5_FBgn0028386 150 135 -0.297260268390737
Oc_Cell_FBgn0004102 39 135 -0.611655619080421
gsb.n_SOLEXA_5_FBgn0001147 195 136 0.306961701038175
Hmx_Cell_FBgn0085448 29 136 0.828477776773912
Slou_Cell_FBgn0002941 48 136 -0.256984674969671
Sox15_SANGER_5_FBgn0005613 152 136 0.18623164475555
Aef1_FlyReg_FBgn0005694 81 137 -0.103938377589571
ato_da_SANGER_10_FBgn0010433 159 137 -0.167492273457109
CG7368_SANGER_5_FBgn0036179 222 137 -0.221073946897383
Atf.2_SANGER_5_FBgn0050420 153 138 -0.0455646792541844
ERR_SANGER_5_FBgn0035849 136 138 -0.161712815279289
